polarity,review_id,sentence_id,text,op_category,op_target,op_OTE_offset,tokens
negative,1004293,1004293:0,"Judging from previous posts this used to be a good place, but not any longer.",RESTAURANT#GENERAL,place,"('51', '56')","['Judging', 'previous', 'posts', 'used', 'good', 'place', 'longer']"
negative,1004293,1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",SERVICE#GENERAL,staff,"('75', '80')","['We', 'four', 'us', 'arrived', 'noon', 'place', 'empty', 'staff', 'acted', 'like', 'imposing', 'rude']"
negative,1004293,1004293:2,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",SERVICE#GENERAL,NULL,"('0', '0')","['They', 'never', 'brought', 'us', 'complimentary', 'noodles', 'ignored', 'repeated', 'requests', 'sugar', 'threw', 'dishes', 'table']"
negative,1004293,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,FOOD#QUALITY,food,"('4', '8')","['The', 'food', 'lousy', 'sweet', 'salty', 'portions', 'tiny']"
negative,1004293,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,FOOD#STYLE_OPTIONS,portions,"('52', '60')","['The', 'food', 'lousy', 'sweet', 'salty', 'portions', 'tiny']"
negative,1004293,1004293:4,"After all that, they complained to me about the small tip.",SERVICE#GENERAL,NULL,"('0', '0')","['After', 'complained', 'small', 'tip']"
negative,1004293,1004293:5,Avoid this place!,RESTAURANT#GENERAL,place,"('11', '16')","['Avoid', 'place']"
positive,1014458,1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",FOOD#QUALITY,food,"('38', '42')","['I', 'eaten', 'Saul', 'many', 'times', 'food', 'always', 'consistently', 'outrageously', 'good']"
positive,1014458,1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn.,RESTAURANT#GENERAL,Saul,"('0', '4')","['Saul', 'best', 'restaurant', 'Smith', 'Street', 'Brooklyn']"
positive,1014458,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,FOOD#QUALITY,foie gras terrine with figs,"('42', '69')","['The', 'duck', 'confit', 'always', 'amazing', 'foie', 'gras', 'terrine', 'figs', 'world']"
positive,1014458,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,FOOD#QUALITY,duck confit,"('4', '15')","['The', 'duck', 'confit', 'always', 'amazing', 'foie', 'gras', 'terrine', 'figs', 'world']"
positive,1014458,1014458:3,The wine list is interesting and has many good values.,DRINKS#STYLE_OPTIONS,wine list,"('4', '13')","['The', 'wine', 'list', 'interesting', 'many', 'good', 'values']"
positive,1014458,1014458:3,The wine list is interesting and has many good values.,DRINKS#PRICES,wine list,"('4', '13')","['The', 'wine', 'list', 'interesting', 'many', 'good', 'values']"
positive,1014458,1014458:4,"For the price, you cannot eat this well in Manhattan.",RESTAURANT#PRICES,NULL,"('0', '0')","['For', 'price', 'cannot', 'eat', 'well', 'Manhattan']"
positive,1014458,1014458:4,"For the price, you cannot eat this well in Manhattan.",FOOD#QUALITY,NULL,"('0', '0')","['For', 'price', 'cannot', 'eat', 'well', 'Manhattan']"
negative,1016296,1016296:0,I was very disappointed with this restaurant.,RESTAURANT#GENERAL,restaurant,"('34', '44')","['I', 'disappointed', 'restaurant']"
negative,1016296,1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,SERVICE#GENERAL,cart attendant,"('12', '26')","['Ive', 'asked', 'cart', 'attendant', 'lotus', 'leaf', 'wrapped', 'rice', 'replied', 'back', 'rice', 'walked', 'away']"
negative,1016296,1016296:2,I had to ask her three times before she finally came back with the dish Ive requested.,SERVICE#GENERAL,NULL,"('0', '0')","['I', 'ask', 'three', 'times', 'finally', 'came', 'back', 'dish', 'Ive', 'requested']"
neutral,1016296,1016296:3,"Food was okay, nothing great.",FOOD#QUALITY,Food,"('0', '4')","['Food', 'okay', 'nothing', 'great']"
negative,1016296,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,FOOD#QUALITY,Chow fun,"('0', '8')","['Chow', 'fun', 'dry', 'pork', 'shu', 'mai', 'usually', 'greasy', 'share', 'table', 'loud', 'rude', 'family']"
negative,1016296,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,FOOD#QUALITY,pork shu mai,"('18', '30')","['Chow', 'fun', 'dry', 'pork', 'shu', 'mai', 'usually', 'greasy', 'share', 'table', 'loud', 'rude', 'family']"
negative,1016296,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,RESTAURANT#MISCELLANEOUS,NULL,"('0', '0')","['Chow', 'fun', 'dry', 'pork', 'shu', 'mai', 'usually', 'greasy', 'share', 'table', 'loud', 'rude', 'family']"
negative,1016296,1016296:5,I/we will never go back to this place again.,RESTAURANT#GENERAL,place,"('32', '37')","['I', 'never', 'go', 'back', 'place']"
positive,1028246,1028246:0,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",RESTAURANT#GENERAL,Fish,"('35', '39')","['Went', '3', 'day', 'oyster', 'binge', 'Fish', 'bringing', 'closing', 'I', 'glad', 'place', 'O', 'trip', 'ended', 'great']"
positive,1028246,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",SERVICE#GENERAL,Service,"('0', '7')","['Service', 'devine', 'oysters', 'sensual', 'come', 'price', 'beat']"
positive,1028246,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",FOOD#QUALITY,oysters,"('20', '27')","['Service', 'devine', 'oysters', 'sensual', 'come', 'price', 'beat']"
positive,1028246,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",RESTAURANT#PRICES,NULL,"('0', '0')","['Service', 'devine', 'oysters', 'sensual', 'come', 'price', 'beat']"
positive,1028246,1028246:2,You can't go wrong here.,RESTAURANT#GENERAL,NULL,"('0', '0')","['You', 'go', 'wrong']"
positive,1032695,1032695:0,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,RESTAURANT#GENERAL,Restaurant Saul,"('50', '65')","['Every', 'time', 'New', 'York', 'I', 'make', 'point', 'visit', 'Restaurant', 'Saul', 'Smith', 'Street']"
positive,1032695,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",FOOD#QUALITY,NULL,"('0', '0')","['Everything', 'always', 'cooked', 'perfection', 'service', 'excellent', 'decor', 'cool', 'understated']"
positive,1032695,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",SERVICE#GENERAL,service,"('47', '54')","['Everything', 'always', 'cooked', 'perfection', 'service', 'excellent', 'decor', 'cool', 'understated']"
positive,1032695,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",AMBIENCE#GENERAL,decor,"('73', '78')","['Everything', 'always', 'cooked', 'perfection', 'service', 'excellent', 'decor', 'cool', 'understated']"
positive,1032695,1032695:2,I had the duck breast special on my last visit and it was incredible.,FOOD#QUALITY,duck breast special,"('10', '29')","['I', 'duck', 'breast', 'special', 'last', 'visit', 'incredible']"
positive,1032695,1032695:3,Can't wait wait for my next visit.,RESTAURANT#GENERAL,NULL,"('0', '0')","['wait', 'wait', 'next', 'visit']"
negative,1041457,1041457:1,And I hate to say this but I doubt I'll ever go back. ,RESTAURANT#GENERAL,NULL,"('0', '0')","['And', 'I', 'hate', 'say', 'I', 'doubt', 'ever', 'go', 'back']"
negative,1041457,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",FOOD#QUALITY,food,"('4', '8')","['The', 'food', 'average', 'Thai', 'fusion', 'stuff', 'bit', 'sweet', 'every', 'thing', 'serve', 'sweet']"
negative,1041457,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",FOOD#QUALITY,Thai fusion stuff,"('31', '48')","['The', 'food', 'average', 'Thai', 'fusion', 'stuff', 'bit', 'sweet', 'every', 'thing', 'serve', 'sweet']"
negative,1041457,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",FOOD#QUALITY,NULL,"('0', '0')","['The', 'food', 'average', 'Thai', 'fusion', 'stuff', 'bit', 'sweet', 'every', 'thing', 'serve', 'sweet']"
positive,1041457,1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,FOOD#QUALITY,Grilled Chicken special with Edamame Puree,"('46', '88')","['The', 'thing', 'I', 'moderately', 'enjoyed', 'Grilled', 'Chicken', 'special', 'Edamame', 'Puree']"
positive,1041457,1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,FOOD#QUALITY,Edamame pureed,"('16', '30')","['I', 'never', 'Edamame', 'pureed', 'I', 'thought', 'innovative', 'tasty', 'used', 'bit', 'salt']"
positive,1041457,1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,FOOD#STYLE_OPTIONS,Edamame pureed,"('16', '30')","['I', 'never', 'Edamame', 'pureed', 'I', 'thought', 'innovative', 'tasty', 'used', 'bit', 'salt']"
negative,1041457,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",AMBIENCE#GENERAL,place,"('142', '147')","['The', 'decor', 'night', 'tho', 'REALLY', 'need', 'clean', 'vent', 'ceiling', 'quite', 'kills', 'effort', 'make', 'place', 'look', 'sleek', 'modern']"
positive,1041457,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",AMBIENCE#GENERAL,decor,"('4', '9')","['The', 'decor', 'night', 'tho', 'REALLY', 'need', 'clean', 'vent', 'ceiling', 'quite', 'kills', 'effort', 'make', 'place', 'look', 'sleek', 'modern']"
negative,1041457,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",AMBIENCE#GENERAL,vent,"('60', '64')","['The', 'decor', 'night', 'tho', 'REALLY', 'need', 'clean', 'vent', 'ceiling', 'quite', 'kills', 'effort', 'make', 'place', 'look', 'sleek', 'modern']"
positive,1053543,1053543:2,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",DRINKS#STYLE_OPTIONS,sake list,"('6', '15')","['Their', 'sake', 'list', 'extensive', 'looking', 'Purple', 'Haze', 'listed', 'made', 'us', 'upon', 'request']"
positive,1053543,1053543:2,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",SERVICE#GENERAL,NULL,"('0', '0')","['Their', 'sake', 'list', 'extensive', 'looking', 'Purple', 'Haze', 'listed', 'made', 'us', 'upon', 'request']"
positive,1053543,1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",FOOD#QUALITY,spicy tuna roll,"('4', '19')","['The', 'spicy', 'tuna', 'roll', 'unusually', 'good', 'rock', 'shrimp', 'tempura', 'awesome', 'great', 'appetizer', 'share']"
positive,1053543,1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",FOOD#QUALITY,rock shrimp tempura,"('47', '66')","['The', 'spicy', 'tuna', 'roll', 'unusually', 'good', 'rock', 'shrimp', 'tempura', 'awesome', 'great', 'appetizer', 'share']"
positive,1053543,1053543:4,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,SERVICE#GENERAL,service,"('74', '81')","['We', 'went', 'around', 'Friday', 'died', 'bit', 'service', 'great']"
positive,1055910,1055910:0,we love th pink pony.,RESTAURANT#GENERAL,pink pony,"('11', '20')","['love', 'th', 'pink', 'pony']"
positive,1055910,1055910:1,THe perfect spot.,RESTAURANT#GENERAL,spot,"('12', '16')","['THe', 'perfect', 'spot']"
positive,1055910,1055910:2,Food-awesome.,FOOD#QUALITY,Food,"('0', '4')",[]
positive,1055910,1055910:3,Service- friendly and attentive.,SERVICE#GENERAL,Service,"('0', '7')","['Service', 'friendly', 'attentive']"
positive,1055910,1055910:4,Ambiance- relaxed and stylish.,AMBIENCE#GENERAL,Ambiance,"('0', '8')","['Ambiance', 'relaxed', 'stylish']"
positive,1055910,1055910:5,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",RESTAURANT#GENERAL,place,"('17', '22')","['judge', 'place', 'prima', 'facie', 'try', 'believe', 'home', 'away', 'home', 'literate', 'heart']"
neutral,1058221,1058221:2,the food is decent.,FOOD#QUALITY,food,"('4', '8')","['food', 'decent']"
negative,1058221,1058221:3,"however, it's the service that leaves a bad taste in my mouth.",SERVICE#GENERAL,service,"('18', '25')","['however', 'service', 'leaves', 'bad', 'taste', 'mouth']"
negative,1058221,1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",SERVICE#GENERAL,waiter,"('106', '112')","['happen', 'policy', 'goes', 'along', 'little', 'bit', 'includes', 'letting', 'waiter', 'intimidate', 'e', 'make', 'feel', 'bad', 'asking', 'trivialities', 'like', 'water', 'check']"
negative,1058221,1058221:5,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",SERVICE#GENERAL,NULL,"('0', '0')","['know', 'busy', 'showing', 'vintage', 'tee', 'shirt', 'looking', 'bored', 'agenda', 'eat', 'enjoy', 'company', 'friends', 'seeking', 'pleasant', 'experience']"
negative,1058221,1058221:6,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. ",RESTAURANT#GENERAL,NULL,"('0', '0')","['well', 'find', 'trust', 'told', 'everyone', 'think', 'experience']"
negative,1058221,1058221:7,the last time i walked by it looked pretty empty. hmmm.,RESTAURANT#MISCELLANEOUS,NULL,"('0', '0')","['last', 'time', 'walked', 'looked', 'pretty', 'empty', 'hmmm']"
positive,1062641,1062641:0,This place has got to be the best japanese restaurant in the new york area.,RESTAURANT#GENERAL,place,"('5', '10')","['This', 'place', 'got', 'best', 'japanese', 'restaurant', 'new', 'york', 'area']"
positive,1062641,1062641:1,I had a great experience.,RESTAURANT#GENERAL,NULL,"('0', '0')","['I', 'great', 'experience']"
positive,1062641,1062641:2,Food is great.,FOOD#QUALITY,Food,"('0', '4')","['Food', 'great']"
positive,1062641,1062641:3,Service is top notch.,SERVICE#GENERAL,Service,"('0', '7')","['Service', 'top', 'notch']"
positive,1062641,1062641:4,I have been going back again and again.,RESTAURANT#GENERAL,NULL,"('0', '0')","['I', 'going', 'back']"
positive,1064477,1064477:0,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",FOOD#QUALITY,sea urchin,"('42', '52')","['I', 'tend', 'judge', 'sushi', 'restaurant', 'sea', 'urchin', 'heavenly', 'sushi', 'rose']"
positive,1064477,1064477:1,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",FOOD#QUALITY,NULL,"('0', '0')","['It', 'melted', 'little', 'mouth', 'perfect', 'fishy', 'creamy', 'slightly', 'buttery']"
positive,1064477,1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,FOOD#QUALITY,sushi,"('4', '9')","['The', 'sushi', 'seemed', 'pretty', 'fresh', 'adequately', 'proportioned']"
positive,1064477,1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,FOOD#STYLE_OPTIONS,sushi,"('4', '9')","['The', 'sushi', 'seemed', 'pretty', 'fresh', 'adequately', 'proportioned']"
positive,1064477,1064477:3,The rice to fish ration was also good--they didn't try to overpack the rice.,FOOD#STYLE_OPTIONS,rice to fish ration,"('4', '23')","['The', 'rice', 'fish', 'ration', 'also', 'try', 'overpack', 'rice']"
positive,1064477,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,FOOD#QUALITY,half price sushi deal,"('26', '47')","['We', 'took', 'advanatage', 'half', 'price', 'sushi', 'deal', 'saturday', 'well', 'worth']"
positive,1064477,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,FOOD#PRICES,half price sushi deal,"('26', '47')","['We', 'took', 'advanatage', 'half', 'price', 'sushi', 'deal', 'saturday', 'well', 'worth']"
positive,1074868,1074868:2,Surprisingly nothing could be further from the truth.,RESTAURANT#MISCELLANEOUS,NULL,"('0', '0')","['Surprisingly', 'nothing', 'could', 'truth']"
positive,1074868,1074868:3,"In the evening, this place attracted a well dressed, with it, NY crowd.",RESTAURANT#MISCELLANEOUS,crowd,"('65', '70')","['In', 'evening', 'place', 'attracted', 'well', 'dressed', 'NY', 'crowd']"
