polarity,review_id,sentence_id,text,op_category,op_target,op_OTE_offset,tokens
positive,1199292,1199292:0,"
     Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!
    ",FOOD#QUALITY,crust,"('77', '82')","['Pizza', 'pizza', 'NYC', 'additional', 'toppings', 'crust', 'tastes', 'like', 'best', 'freshly', 'baked', 'bread']"
positive,1199292,1199292:0,"
     Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!
    ",FOOD#QUALITY,pizza,"('17', '22')","['Pizza', 'pizza', 'NYC', 'additional', 'toppings', 'crust', 'tastes', 'like', 'best', 'freshly', 'baked', 'bread']"
positive,1199292,1199292:3,"
     I take all my NYC guests to VT's.
    ",RESTAURANT#MISCELLANEOUS,VT's,"('28', '32')","['I', 'take', 'NYC', 'guests']"
positive,1199480,1199480:0,"
     Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!
    ",LOCATION#GENERAL,neighborhood,"('74', '86')","['Not', 'sure', 'previous', 'reviewer', 'lonk', 'dined', 'Saul', 'great', 'neighborhood', 'great', 'food']"
positive,1199480,1199480:0,"
     Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!
    ",FOOD#QUALITY,food,"('101', '105')","['Not', 'sure', 'previous', 'reviewer', 'lonk', 'dined', 'Saul', 'great', 'neighborhood', 'great', 'food']"
positive,1199480,1199480:1,"
     I've been there three times and have always had wonderful experiences.
    ",RESTAURANT#GENERAL,NULL,"('0', '0')","['three', 'times', 'always', 'wonderful', 'experiences']"
positive,1199480,1199480:2,"
     I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.
    ",AMBIENCE#GENERAL,setting,"('75', '82')","['highly', 'recommend', 'special', 'occasion', 'provides', 'intimate', 'setting', 'nice', 'service']"
positive,1199480,1199480:2,"
     I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.
    ",SERVICE#GENERAL,service,"('92', '99')","['highly', 'recommend', 'special', 'occasion', 'provides', 'intimate', 'setting', 'nice', 'service']"
positive,1199480,1199480:2,"
     I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.
    ",RESTAURANT#MISCELLANEOUS,NULL,"('0', '0')","['highly', 'recommend', 'special', 'occasion', 'provides', 'intimate', 'setting', 'nice', 'service']"
positive,1205520,1205520:0,"
     I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.
    ",RESTAURANT#GENERAL,Mizu,"('134', '138')","['sure', 'reviewers', 'ate', 'seems', 'visited', 'two', 'different', 'restaurants', 'friends', 'I', 'enjoy', 'Mizu', 'much', 'repeat', 'customers']"
negative,1205520,1205520:1,"
     Even after they overcharged me the last time I was there.
    ",SERVICE#GENERAL,NULL,"('0', '0')","['Even', 'overcharged', 'last', 'time', 'I']"
positive,1205520,1205520:2,"
     Make sure you have the Spicy Scallop roll.. .
    ",FOOD#QUALITY,Spicy Scallop roll,"('23', '41')","['Make', 'sure', 'Spicy', 'Scallop', 'roll']"
positive,1205520,1205520:3,"
     it's delicious!
    ",FOOD#QUALITY,NULL,"('0', '0')",['delicious']
positive,1212346,1212346:0,"
     Moules were excellent, lobster ravioli was VERY salty!
    ",FOOD#QUALITY,Moules,"('0', '6')","['Moules', 'excellent', 'lobster', 'ravioli', 'VERY', 'salty']"
negative,1212346,1212346:0,"
     Moules were excellent, lobster ravioli was VERY salty!
    ",FOOD#QUALITY,lobster ravioli,"('23', '38')","['Moules', 'excellent', 'lobster', 'ravioli', 'VERY', 'salty']"
negative,1212346,1212346:1,"
     Took my mom for Mother's Day, and the maitre d' was pretty rude.
    ",SERVICE#GENERAL,maitre d',"('38', '47')","['Took', 'mom', 'Day', 'maitre', 'pretty', 'rude']"
